Founder_Type,Economic_Climate,Founder_Age,Founder_Experience_Years,Industry,Funding_Stage,Work_Mode,Team_Size,Startup_Age_Months,Weekly_Work_Hours,Sleep_Hours,Exercise_Days_Per_Week,Vacation_Days_Taken,Investor_Pressure_Score,Cofounder_Conflict_Score,Stress_Score,Decision_Fatigue_Score,Burnout_Score,Burnout_Level,Founder_Burnout_Flag,Monthly_Revenue_Growth_Percent,Runway_Months_Remaining,Product_Market_Fit_Score,Employee_Turnover_Percent,Work_Life_Balance_Score,Seeks_Mental_Health_Support,Shutdown_Probability,Shutdown_Risk,Startup_Failure_Flag
Burned-Out Operator,Stable Economy,35,4,E-commerce,Bootstrapped,Hybrid,5,56,67.9,4.1,3.5,5.8,7.2,0.3,5.4,3.5,5.3,Moderate,0,20.3,2.2,7.0,44.2,2.0,Yes,0.309,Low,0
Chaotic Innovator,Recession,32,1,E-commerce,Series B,Hybrid,123,20,75.4,6.6,2.8,0.0,10.0,4.5,9.6,5.7,3.4,Low,0,-3.4,15.3,4.1,48.6,5.1,No,0.741,High,1
Technical Builder,Stable Economy,34,0,Biotech,Series B,Hybrid,77,118,56.3,5.8,3.9,12.5,8.2,5.7,5.2,6.3,3.4,Low,0,-3.9,12.2,6.5,36.5,6.8,No,0.434,Medium,0
Solo Hustler,Funding Winter,31,0,Gaming,Series A,Remote,86,30,72.4,5.4,2.1,1.3,9.7,5.9,8.0,8.1,8.6,Severe,1,8.2,1.0,2.7,49.9,2.4,Yes,0.958,High,1
Solo Hustler,Bull Market,32,1,EdTech,Series B,Hybrid,156,2,50.4,5.6,4.6,14.4,7.4,0.6,2.4,2.7,1.0,Low,0,0.4,22.9,4.5,14.6,10.0,No,0.116,Low,0
Growth Obsessed Founder,Stable Economy,44,3,HealthTech,Seed,Remote,16,89,74.4,5.6,3.1,14.9,5.8,6.5,5.7,5.1,1.0,Low,0,-2.8,14.1,7.3,33.9,7.7,No,0.32,Low,0
Chaotic Innovator,Recession,28,4,SaaS,Seed,Remote,19,67,59.5,5.5,4.7,0.0,7.6,2.9,5.6,5.3,3.6,Moderate,0,1.9,10.7,2.3,47.4,6.5,No,0.642,Medium,0
Burned-Out Operator,Stable Economy,37,3,ClimateTech,Series A,Remote,46,68,54.2,5.3,3.9,0.0,5.1,1.1,3.8,2.2,1.0,Low,0,0.7,14.6,7.7,14.5,7.8,No,0.019,Low,0
Chaotic Innovator,Funding Winter,27,3,AI,Series A,Hybrid,80,43,61.6,5.3,3.4,13.1,10.0,3.7,5.2,8.4,4.8,Moderate,0,8.4,13.8,5.6,35.2,5.1,No,0.625,Medium,0
Chaotic Innovator,Stable Economy,31,1,AI,Bootstrapped,Office,6,136,43.4,6.5,4.8,1.7,2.7,3.3,1.0,4.4,1.0,Low,0,17.6,11.6,4.3,32.1,10.0,No,0.659,High,1
Technical Builder,Funding Winter,26,3,FinTech,Bootstrapped,Hybrid,1,35,66.1,5.6,1.1,6.9,10.0,3.8,7.0,4.9,4.8,Moderate,0,9.7,22.2,6.9,46.4,4.3,No,0.27,Low,0
Solo Hustler,Stable Economy,31,0,Cybersecurity,Pre-Seed,Hybrid,3,58,64.4,5.8,2.8,2.5,3.4,5.1,6.1,5.8,4.3,Moderate,0,5.7,19.7,5.0,39.7,5.6,No,0.147,Low,0
Burned-Out Operator,Funding Winter,24,4,EdTech,Pre-Seed,Remote,4,2,47.6,4.9,4.5,9.4,6.4,1.4,1.8,3.7,2.3,Low,0,0.4,17.4,9.4,42.3,8.7,No,0.039,Low,0
Chaotic Innovator,Bull Market,30,2,FinTech,Series A,Hybrid,75,38,77.2,5.2,2.2,11.6,8.7,4.3,6.5,6.3,5.0,Moderate,0,-5.1,18.3,3.9,39.1,4.1,Yes,0.141,Low,0
Burned-Out Operator,Funding Winter,46,3,SaaS,Bootstrapped,Remote,2,96,86.4,4.9,3.7,0.0,6.1,2.8,8.2,10.0,8.5,Severe,1,-7.8,6.4,4.7,46.0,1.0,No,0.811,High,1
Growth Obsessed Founder,Stable Economy,30,4,AI,Seed,Remote,25,54,84.6,5.5,1.8,0.0,4.3,6.3,9.0,4.4,7.0,Severe,1,4.3,4.9,3.7,61.6,3.7,No,0.632,Medium,0
Technical Builder,Stable Economy,34,2,SaaS,Series A,Hybrid,77,79,60.8,7.8,5.1,9.0,6.4,1.7,3.6,3.8,2.5,Low,0,10.3,16.5,9.1,24.7,8.9,No,0.057,Low,0
Serial Entrepreneur,Recession,45,9,FinTech,Bootstrapped,Remote,3,50,73.3,5.1,0.9,8.6,3.7,6.0,5.7,5.8,3.6,Moderate,0,5.3,7.8,7.7,53.7,6.5,No,0.422,Medium,0
Technical Builder,Stable Economy,35,0,AI,Series A,Remote,59,100,66.4,7.3,3.6,10.9,5.9,3.5,4.9,3.5,1.0,Low,0,14.8,10.8,2.9,17.9,9.0,No,0.352,Medium,0
Technical Builder,Recession,34,4,AI,Series A,Office,24,30,66.2,6.1,3.2,0.0,6.1,5.2,5.0,6.1,5.9,Moderate,0,-1.2,4.0,4.8,59.4,5.1,No,0.843,High,1
Calm Operator,Stable Economy,35,1,AI,Bootstrapped,Remote,1,14,53.8,5.8,6.9,13.3,5.9,1.2,2.5,4.8,1.0,Low,0,6.7,20.9,2.9,15.9,10.0,No,0.033,Low,0
Visionary CEO,Stable Economy,37,2,Cybersecurity,Series A,Remote,51,3,47.7,5.9,5.1,12.7,2.5,2.6,1.0,4.2,1.0,Low,0,-11.3,6.9,1.9,14.6,10.0,No,0.178,Low,0
Burned-Out Operator,Stable Economy,30,1,SaaS,Bootstrapped,Remote,4,133,57.3,4.2,4.5,0.8,3.6,2.8,4.6,4.4,2.9,Low,0,21.6,7.4,9.9,38.5,7.4,No,0.417,Medium,0
Solo Hustler,Stable Economy,30,4,HealthTech,Series B,Remote,160,77,70.5,4.6,1.4,0.0,7.6,4.4,7.0,5.1,5.9,Moderate,0,19.2,10.1,1.0,54.9,3.0,No,0.548,Medium,0
Calm Operator,Stable Economy,36,1,EdTech,Bootstrapped,Hybrid,2,119,50.6,8.1,7.0,20.6,7.0,0.0,1.3,2.9,1.0,Low,0,10.2,16.4,9.4,0.0,9.0,Yes,0.019,Low,0
Technical Builder,Stable Economy,43,4,Gaming,Seed,Hybrid,6,49,76.4,5.5,1.6,1.8,5.0,9.0,7.2,7.4,7.5,Severe,1,0.7,6.9,6.5,66.1,3.4,Yes,0.47,Medium,0
Technical Builder,Stable Economy,27,3,FinTech,Bootstrapped,Office,2,128,66.8,6.1,2.3,17.6,7.9,0.7,5.0,2.6,2.8,Low,0,6.1,7.7,7.8,30.2,8.2,No,0.064,Low,0
Calm Operator,Recession,37,4,SaaS,Bootstrapped,Remote,1,123,53.9,6.4,4.4,1.4,7.2,2.1,4.1,1.0,1.6,Low,0,-26.5,5.4,5.6,19.2,9.9,No,0.185,Low,0
Growth Obsessed Founder,Recession,42,3,AI,Seed,Remote,8,93,74.6,4.3,4.0,14.7,6.7,4.3,7.1,9.1,4.4,Moderate,0,-14.0,1.0,2.0,32.5,6.1,Yes,0.737,High,1
Technical Builder,Recession,24,2,ClimateTech,Series B,Remote,172,137,66.0,6.6,3.2,0.0,6.7,3.5,5.0,4.5,4.8,Moderate,0,6.6,1.0,5.1,41.0,4.8,Yes,0.713,High,1
Visionary CEO,Stable Economy,23,0,Cybersecurity,Bootstrapped,Remote,6,38,72.6,5.4,4.6,12.0,6.5,4.7,5.0,2.4,2.5,Low,0,5.3,14.7,7.7,29.9,7.2,Yes,0.085,Low,0
Burned-Out Operator,Stable Economy,41,3,AI,Pre-Seed,Office,6,73,57.3,5.6,2.1,5.5,8.4,0.0,5.5,3.4,5.1,Moderate,0,6.3,16.3,5.5,20.9,4.0,No,0.075,Low,0
Growth Obsessed Founder,Funding Winter,31,1,AI,Seed,Remote,9,57,75.9,3.0,1.9,4.1,9.7,4.8,9.1,7.3,9.2,Severe,1,13.2,1.0,3.2,61.6,1.0,Yes,0.844,High,1
Technical Builder,Funding Winter,29,1,Biotech,Seed,Remote,8,83,50.3,6.3,2.8,8.4,7.8,3.0,5.8,1.0,1.0,Low,0,-26.4,8.6,3.2,29.1,9.9,No,0.302,Low,0
Visionary CEO,Stable Economy,42,6,SaaS,Bootstrapped,Hybrid,2,67,78.3,4.0,3.5,6.9,5.3,3.1,7.4,7.6,3.9,Moderate,0,8.3,8.1,6.9,29.1,3.6,No,0.3,Low,0
Burned-Out Operator,Bull Market,44,3,HealthTech,Series A,Hybrid,39,13,67.0,4.9,2.7,15.2,9.7,8.5,7.0,7.8,5.8,Moderate,0,7.2,16.7,4.2,40.7,5.1,Yes,0.1,Low,0
Technical Builder,Recession,34,3,Gaming,Pre-Seed,Hybrid,2,65,49.9,7.1,5.2,2.0,7.7,3.9,4.2,4.2,3.6,Moderate,0,1.1,13.0,9.0,36.3,7.6,No,0.223,Low,0
Growth Obsessed Founder,Funding Winter,30,3,SaaS,Pre-Seed,Hybrid,7,5,78.6,4.6,1.5,2.6,4.7,3.9,7.0,5.2,3.7,Moderate,0,2.6,1.4,3.3,40.3,9.4,Yes,0.844,High,1
Serial Entrepreneur,Recession,32,7,Cybersecurity,Series B,Remote,155,59,81.8,4.9,3.1,13.8,9.8,3.3,6.0,4.5,3.8,Moderate,0,-0.3,15.3,5.9,31.1,4.8,Yes,0.321,Low,0
Technical Builder,Bull Market,23,3,AI,Seed,Remote,26,140,74.4,4.8,3.0,11.1,5.2,3.9,9.7,9.7,5.9,Moderate,0,8.8,12.4,7.2,38.9,2.7,No,0.346,Low,0
Technical Builder,Funding Winter,50,4,EdTech,Series A,Hybrid,48,125,65.9,6.5,2.2,0.0,10.0,6.8,7.8,7.4,6.2,Moderate,0,6.0,13.4,7.3,58.2,2.5,No,0.794,High,1
Visionary CEO,Stable Economy,33,3,SaaS,Series A,Hybrid,22,109,43.7,4.8,4.4,9.6,3.0,2.7,1.0,1.0,1.0,Low,0,-1.8,11.2,7.3,18.4,10.0,No,0.218,Low,0
Technical Builder,Stable Economy,36,3,AI,Seed,Remote,16,93,31.8,8.1,6.0,25.6,3.5,1.8,1.9,1.9,1.0,Low,0,23.9,14.6,8.0,20.2,10.0,Yes,0.019,Low,0
Burned-Out Operator,Stable Economy,42,5,E-commerce,Series A,Remote,43,131,64.6,5.6,2.2,7.2,8.1,5.7,6.1,3.8,3.0,Low,0,26.4,21.4,7.6,48.3,5.2,No,0.065,Low,0
Burned-Out Operator,Stable Economy,38,2,E-commerce,Seed,Remote,24,123,71.4,4.4,1.3,9.8,2.2,7.6,6.7,4.5,2.6,Low,0,10.1,16.6,7.1,25.9,7.1,Yes,0.351,Medium,0
Growth Obsessed Founder,Stable Economy,42,7,FinTech,Series B,Remote,118,118,64.7,5.4,1.7,14.2,7.8,6.6,7.7,7.4,5.5,Moderate,0,17.1,21.5,4.8,61.2,5.8,No,0.207,Low,0
Chaotic Innovator,Stable Economy,44,5,AI,Series A,Remote,22,119,69.7,5.4,3.7,3.2,6.3,9.0,7.1,7.7,3.8,Moderate,0,39.9,1.0,8.6,49.2,5.1,Yes,0.764,High,1
Growth Obsessed Founder,Stable Economy,26,5,SaaS,Series A,Hybrid,58,56,76.8,4.5,3.7,7.9,6.1,6.5,8.9,5.9,5.5,Moderate,0,28.9,1.0,7.8,49.1,3.1,Yes,0.471,Medium,0
Growth Obsessed Founder,Stable Economy,29,1,HealthTech,Series A,Remote,33,84,90.8,4.0,1.9,1.3,3.7,10.0,10.0,10.0,7.9,Severe,1,19.8,16.9,5.1,66.4,1.0,No,0.542,Medium,0
Solo Hustler,Stable Economy,29,1,AI,Bootstrapped,Office,5,31,102.5,3.6,1.2,5.8,3.1,4.8,8.4,10.0,7.3,Severe,1,41.1,1.7,5.8,51.4,1.0,No,0.869,High,1
Chaotic Innovator,Stable Economy,38,2,AI,Seed,Remote,28,68,57.4,5.6,4.0,4.8,5.5,5.1,6.4,5.7,6.9,Severe,1,33.4,9.6,5.0,39.9,3.4,Yes,0.632,Medium,0
Serial Entrepreneur,Bull Market,48,12,EdTech,Pre-Seed,Remote,9,92,53.4,5.9,6.0,5.2,6.5,0.0,1.2,1.6,1.0,Low,0,30.0,9.9,9.9,18.7,10.0,No,0.063,Low,0
Visionary CEO,Stable Economy,28,2,AI,Seed,Remote,16,57,59.9,6.0,4.1,7.8,4.6,3.6,3.7,1.0,1.0,Low,0,-11.3,10.9,4.2,33.8,10.0,No,0.241,Low,0
Serial Entrepreneur,Funding Winter,25,5,HealthTech,Series A,Hybrid,20,95,53.3,6.1,4.0,9.0,7.5,3.3,1.6,2.5,1.0,Low,0,5.1,13.1,4.2,16.8,9.3,No,0.438,Medium,0
Serial Entrepreneur,Stable Economy,44,7,Biotech,Seed,Hybrid,18,84,49.3,5.5,5.5,7.8,5.9,5.4,3.2,4.6,2.8,Low,0,-24.9,32.9,1.0,25.2,9.1,No,0.05,Low,0
Technical Builder,Stable Economy,38,0,SaaS,Bootstrapped,Office,1,115,77.9,5.4,2.3,15.0,2.4,7.1,5.3,1.9,4.1,Moderate,0,19.3,9.2,6.0,43.2,4.1,No,0.849,High,1
Burned-Out Operator,Recession,28,1,HealthTech,Pre-Seed,Hybrid,4,69,69.5,3.6,4.5,11.7,6.0,4.5,5.7,8.0,5.9,Moderate,0,0.8,8.5,8.8,51.6,2.8,No,0.694,High,1
Serial Entrepreneur,Stable Economy,46,5,ClimateTech,Bootstrapped,Hybrid,1,79,81.0,6.3,3.1,8.9,3.0,4.5,6.4,2.0,4.0,Moderate,0,7.8,18.9,6.1,49.9,5.9,No,0.016,Low,0
Solo Hustler,Stable Economy,36,2,Cybersecurity,Series A,Remote,69,32,70.6,5.0,6.0,8.1,5.9,5.5,5.7,4.5,2.2,Low,0,21.6,7.6,4.1,22.1,7.9,Yes,0.223,Low,0
Chaotic Innovator,Stable Economy,26,1,FinTech,Seed,Remote,7,65,50.1,6.0,5.2,9.4,5.2,2.5,4.9,3.4,1.0,Low,0,11.8,11.3,5.2,18.9,10.0,No,0.309,Low,0
Solo Hustler,Funding Winter,21,4,EdTech,Bootstrapped,Remote,6,74,75.1,5.1,2.3,14.0,7.8,4.3,9.1,7.9,5.7,Moderate,0,-34.3,11.3,3.0,54.4,2.3,No,0.578,Medium,0
Technical Builder,Stable Economy,29,0,Gaming,Seed,Remote,16,51,57.7,6.8,5.1,11.0,3.2,2.5,1.0,1.0,1.0,Low,0,2.5,12.1,6.0,16.8,10.0,Yes,0.065,Low,0
Solo Hustler,Stable Economy,44,3,ClimateTech,Pre-Seed,Remote,13,83,77.0,3.5,2.8,0.0,2.5,2.9,6.8,8.0,6.3,Moderate,0,4.0,6.7,4.4,40.8,1.0,No,0.788,High,1
Growth Obsessed Founder,Stable Economy,28,2,AI,Series C,Remote,312,128,71.8,5.5,3.2,16.8,10.0,5.2,8.4,6.7,5.4,Moderate,0,6.1,18.6,4.0,55.6,4.1,No,0.214,Low,0
Serial Entrepreneur,Bull Market,39,5,HealthTech,Series A,Hybrid,70,80,60.6,6.0,4.0,0.0,9.3,3.1,5.6,7.0,4.5,Moderate,0,14.5,15.7,3.5,50.3,7.1,No,0.088,Low,0
Serial Entrepreneur,Stable Economy,31,8,E-commerce,Bootstrapped,Office,5,50,62.9,6.1,3.1,18.3,3.9,3.2,2.9,3.3,1.0,Low,0,-6.6,12.8,7.0,22.9,10.0,No,0.072,Low,0
Solo Hustler,Funding Winter,40,1,Cybersecurity,Series A,Remote,88,23,89.2,4.9,2.1,5.0,7.6,3.6,8.7,7.4,5.8,Moderate,0,16.1,5.3,3.6,42.9,3.4,Yes,0.791,High,1
Serial Entrepreneur,Stable Economy,36,7,AI,Series B,Remote,168,40,39.2,7.2,4.9,13.9,7.4,0.1,1.0,2.2,1.0,Low,0,10.3,14.5,9.9,8.1,10.0,No,0.035,Low,0
Solo Hustler,Bull Market,37,0,HealthTech,Bootstrapped,Hybrid,5,140,63.3,6.2,4.8,12.1,6.5,5.4,3.7,5.2,3.3,Low,0,-21.2,16.3,3.6,47.0,6.6,No,0.472,Medium,0
Technical Builder,Funding Winter,37,1,SaaS,Bootstrapped,Hybrid,2,73,55.3,6.2,3.9,11.3,8.6,2.0,6.1,2.9,1.0,Low,0,8.3,16.3,4.5,23.7,9.6,No,0.357,Medium,0
Growth Obsessed Founder,Recession,37,5,HealthTech,Series A,Remote,35,42,64.4,5.8,4.3,0.7,7.4,8.3,7.0,7.9,5.8,Moderate,0,5.6,10.8,2.0,42.0,4.1,Yes,0.919,High,1
Chaotic Innovator,Stable Economy,32,3,SaaS,Series A,Hybrid,72,29,69.3,4.7,3.2,0.0,8.4,7.6,8.0,7.1,6.9,Severe,1,-8.3,2.0,5.4,59.6,4.0,No,0.907,High,1
Burned-Out Operator,Stable Economy,39,4,SaaS,Seed,Remote,10,18,41.2,4.8,4.1,13.5,3.3,4.5,3.1,2.9,3.2,Low,0,-2.6,5.2,3.7,40.1,7.6,No,0.176,Low,0
Chaotic Innovator,Funding Winter,29,3,SaaS,Seed,Hybrid,20,46,55.2,5.9,4.7,26.0,8.1,2.2,3.4,4.5,2.7,Low,0,5.4,18.2,8.8,29.7,7.0,Yes,0.099,Low,0
Solo Hustler,Stable Economy,36,3,ClimateTech,Seed,Hybrid,26,56,80.9,4.3,2.8,8.0,5.8,8.8,9.2,6.8,8.2,Severe,1,-29.3,15.5,1.0,53.0,1.0,No,0.982,High,1
Calm Operator,Funding Winter,27,0,Cybersecurity,Bootstrapped,Office,4,56,45.6,6.7,5.4,20.3,6.6,0.0,2.1,1.0,1.0,Low,0,-9.5,9.0,4.5,12.9,10.0,No,0.505,Medium,0
Solo Hustler,Funding Winter,35,4,EdTech,Series A,Hybrid,46,56,78.4,5.0,3.7,12.1,10.0,6.4,8.9,7.6,6.8,Severe,1,-4.1,5.9,1.2,56.6,1.9,No,0.876,High,1
Growth Obsessed Founder,Stable Economy,37,4,ClimateTech,Bootstrapped,Remote,1,50,74.9,4.7,1.9,10.3,3.0,6.5,8.0,5.8,4.2,Moderate,0,1.7,1.0,1.4,53.6,3.5,No,0.936,High,1
Technical Builder,Stable Economy,27,4,ClimateTech,Seed,Hybrid,28,83,55.6,7.0,4.3,3.1,3.6,7.4,1.7,2.2,1.9,Low,0,2.3,18.9,10.0,34.5,8.4,No,0.154,Low,0
Visionary CEO,Bull Market,30,1,SaaS,Series C,Office,330,91,49.1,6.6,5.7,11.7,6.3,5.4,4.3,4.3,2.0,Low,0,25.3,17.1,9.0,40.9,8.3,No,0.067,Low,0
Serial Entrepreneur,Stable Economy,40,4,E-commerce,Pre-Seed,Office,11,76,41.1,7.0,5.5,6.9,2.5,3.1,1.0,1.0,1.0,Low,0,2.7,13.1,5.6,9.2,10.0,No,0.099,Low,0
Technical Builder,Bull Market,30,1,AI,Pre-Seed,Remote,5,23,54.6,6.1,3.5,6.2,2.9,4.5,1.8,4.8,1.0,Low,0,18.7,11.9,8.7,29.4,10.0,No,0.108,Low,0
Calm Operator,Stable Economy,25,0,EdTech,Bootstrapped,Office,3,113,74.9,5.4,2.8,13.9,5.9,0.7,6.0,3.5,5.4,Moderate,0,-6.2,17.0,3.1,22.7,5.0,Yes,0.071,Low,0
Technical Builder,Recession,30,0,FinTech,Series A,Remote,72,16,43.1,6.5,5.7,4.2,10.0,3.5,5.8,4.5,3.6,Moderate,0,-9.6,10.3,1.9,40.7,5.0,No,0.683,High,1
Chaotic Innovator,Stable Economy,37,1,Cybersecurity,Series A,Office,20,64,55.8,6.9,4.4,5.5,9.5,8.3,6.1,5.5,3.6,Moderate,0,14.5,10.8,1.2,54.3,8.1,No,0.792,High,1
Serial Entrepreneur,Stable Economy,45,8,Cybersecurity,Series B,Hybrid,196,113,49.1,7.0,4.9,22.3,5.6,0.0,1.6,1.6,1.0,Low,0,25.0,24.5,10.0,27.1,10.0,No,0.007,Low,0
Serial Entrepreneur,Bull Market,32,7,AI,Seed,Remote,6,15,75.3,5.7,4.0,12.2,6.1,2.5,4.8,6.2,2.2,Low,0,2.1,1.0,7.4,27.6,7.4,No,0.04,Low,0
Technical Builder,Bull Market,40,5,SaaS,Pre-Seed,Hybrid,12,26,53.0,7.1,5.1,7.7,3.3,5.1,3.1,3.6,1.1,Low,0,22.7,20.0,7.9,25.1,10.0,Yes,0.032,Low,0
Burned-Out Operator,Stable Economy,39,2,SaaS,Seed,Office,6,97,67.3,4.3,3.5,16.1,6.7,3.3,6.1,4.8,4.3,Moderate,0,5.8,19.0,2.8,50.3,7.5,Yes,0.522,Medium,0
Growth Obsessed Founder,Bull Market,46,5,Biotech,Bootstrapped,Hybrid,4,108,89.0,4.8,2.1,11.4,2.0,4.0,8.1,8.3,3.1,Low,0,1.0,3.3,7.6,30.5,5.9,No,0.519,Medium,0
Calm Operator,Bull Market,35,4,Gaming,Series A,Remote,70,114,44.6,6.0,6.2,18.2,8.1,0.0,2.0,2.2,1.0,Low,0,-28.1,21.3,6.2,15.0,9.8,No,0.013,Low,0
Chaotic Innovator,Stable Economy,43,2,E-commerce,Series A,Hybrid,59,111,63.4,5.9,4.5,3.2,4.4,5.7,4.3,3.2,2.8,Low,0,-0.8,18.2,4.9,43.1,6.1,Yes,0.164,Low,0
Serial Entrepreneur,Stable Economy,23,5,SaaS,Seed,Hybrid,16,87,58.4,5.7,3.2,10.3,5.2,3.4,4.1,5.1,3.5,Low,0,9.8,8.0,5.6,35.9,7.5,No,0.058,Low,0
Growth Obsessed Founder,Stable Economy,32,0,Gaming,Seed,Office,23,19,79.1,5.0,2.5,0.0,4.2,4.8,6.3,5.9,3.7,Moderate,0,9.0,3.5,4.0,35.9,4.6,No,0.758,High,1
Calm Operator,Stable Economy,28,0,ClimateTech,Bootstrapped,Office,4,114,68.5,6.1,6.1,13.6,4.5,1.7,1.0,1.0,1.0,Low,0,-0.5,10.5,5.1,34.0,9.2,No,0.354,Medium,0
Serial Entrepreneur,Funding Winter,38,4,FinTech,Seed,Remote,23,28,50.0,5.9,3.9,5.0,10.0,3.0,4.0,3.5,4.5,Moderate,0,14.9,7.1,6.2,37.0,8.2,No,0.479,Medium,0
Technical Builder,Funding Winter,41,6,FinTech,Bootstrapped,Remote,2,33,72.1,5.0,3.9,9.4,4.9,6.3,3.9,5.7,3.8,Moderate,0,-7.5,1.0,7.0,34.3,5.9,No,0.771,High,1
Burned-Out Operator,Bull Market,37,1,SaaS,Series A,Office,53,139,70.0,4.1,3.9,2.8,9.8,4.6,9.4,6.0,9.9,Severe,1,3.0,6.6,5.6,65.4,1.0,Yes,0.944,High,1
Technical Builder,Stable Economy,37,2,ClimateTech,Seed,Hybrid,21,58,57.0,5.8,5.9,18.3,3.4,2.9,2.7,2.9,1.0,Low,0,7.4,4.1,8.0,17.3,10.0,No,0.172,Low,0
Visionary CEO,Recession,47,4,FinTech,Bootstrapped,Hybrid,7,102,29.3,7.7,5.0,12.3,5.6,1.5,1.0,1.5,1.0,Low,0,1.3,7.8,10.0,9.9,10.0,No,0.094,Low,0
Solo Hustler,Bull Market,26,5,EdTech,Pre-Seed,Hybrid,2,141,72.7,5.2,4.3,7.5,4.9,4.3,6.1,4.5,4.3,Moderate,0,2.4,4.9,8.2,48.9,4.5,Yes,0.591,Medium,0
Technical Builder,Bull Market,35,1,Gaming,Bootstrapped,Remote,1,5,71.8,6.5,2.9,11.8,5.2,9.3,7.9,8.6,6.5,Severe,1,17.0,1.0,5.2,64.9,5.0,Yes,0.871,High,1
Chaotic Innovator,Stable Economy,36,1,HealthTech,Bootstrapped,Remote,1,101,83.5,5.4,3.1,4.2,5.3,10.0,10.0,7.6,4.9,Moderate,0,1.3,17.3,2.4,48.9,4.3,No,0.707,High,1
Calm Operator,Stable Economy,39,5,EdTech,Series A,Hybrid,64,51,61.0,7.6,4.8,17.4,7.6,1.3,1.8,3.8,1.1,Low,0,2.5,12.6,10.0,8.6,8.3,No,0.075,Low,0
Burned-Out Operator,Funding Winter,29,1,Gaming,Bootstrapped,Remote,5,131,62.0,4.9,4.2,13.2,6.3,0.9,3.5,5.7,4.3,Moderate,0,6.1,12.5,5.5,7.8,6.4,No,0.245,Low,0
Solo Hustler,Stable Economy,31,3,SaaS,Series B,Hybrid,173,7,71.7,6.3,1.9,6.9,8.8,4.1,7.6,5.2,5.5,Moderate,0,16.1,16.6,7.0,43.0,3.8,No,0.169,Low,0
Solo Hustler,Funding Winter,41,1,FinTech,Series A,Hybrid,48,68,79.3,5.2,2.9,3.3,10.0,4.6,9.2,7.3,4.9,Moderate,0,15.1,16.1,8.4,36.4,4.0,No,0.482,Medium,0
Visionary CEO,Stable Economy,26,0,FinTech,Series B,Hybrid,84,135,46.3,5.8,3.7,3.3,5.1,0.5,1.7,2.4,1.0,Low,0,30.6,18.1,10.0,15.1,8.8,No,0.025,Low,0
Burned-Out Operator,Recession,41,4,SaaS,Seed,Hybrid,11,65,77.9,4.6,1.5,3.5,7.8,6.3,10.0,10.0,7.3,Severe,1,-26.8,7.8,1.2,58.2,2.9,No,0.899,High,1
Technical Builder,Funding Winter,33,2,SaaS,Seed,Hybrid,16,112,55.8,6.8,5.0,23.1,4.5,3.6,3.7,1.8,1.1,Low,0,6.2,22.3,2.8,42.0,9.4,Yes,0.144,Low,0
Technical Builder,Stable Economy,31,2,SaaS,Series A,Remote,27,112,54.9,6.8,3.1,15.7,5.4,2.4,2.7,1.8,1.0,Low,0,27.9,14.1,9.6,21.0,10.0,No,0.034,Low,0
Solo Hustler,Funding Winter,33,1,Cybersecurity,Series B,Hybrid,63,122,80.4,3.8,3.1,16.8,8.8,4.1,10.0,10.0,8.4,Severe,1,-7.0,1.0,1.0,53.2,1.0,Yes,0.822,High,1
Solo Hustler,Bull Market,31,2,HealthTech,Series A,Remote,79,82,58.0,5.0,2.8,4.4,5.0,5.0,4.9,7.2,4.3,Moderate,0,-4.0,20.7,4.5,38.6,5.6,Yes,0.294,Low,0
Solo Hustler,Recession,38,2,SaaS,Series B,Hybrid,115,92,87.1,4.8,3.6,2.3,8.6,2.9,7.3,6.7,3.9,Moderate,0,10.6,11.0,3.6,30.1,5.2,No,0.207,Low,0
Burned-Out Operator,Bull Market,34,2,SaaS,Bootstrapped,Remote,2,128,62.8,5.3,3.5,7.8,9.8,3.2,8.2,7.5,6.2,Moderate,0,-2.4,10.0,3.4,38.6,3.7,No,0.516,Medium,0
Burned-Out Operator,Stable Economy,24,3,Cybersecurity,Bootstrapped,Hybrid,4,21,62.2,5.4,2.1,2.6,5.0,5.4,5.3,5.4,3.7,Moderate,0,6.1,18.6,6.9,43.1,7.1,No,0.161,Low,0
Calm Operator,Stable Economy,36,1,Gaming,Pre-Seed,Office,6,100,58.9,6.5,4.9,10.6,4.7,1.8,2.3,2.9,1.0,Low,0,12.8,2.4,8.9,36.8,8.7,No,0.162,Low,0
Calm Operator,Funding Winter,34,3,SaaS,Bootstrapped,Remote,7,3,29.1,8.0,7.0,27.3,8.0,0.0,1.0,1.0,1.0,Low,0,-3.2,6.5,6.0,19.5,10.0,Yes,0.142,Low,0
Solo Hustler,Funding Winter,32,2,SaaS,Series A,Hybrid,74,139,74.2,6.3,2.4,17.2,10.0,2.9,5.7,3.3,4.3,Moderate,0,7.1,7.8,5.3,26.0,5.2,No,0.376,Medium,0
Solo Hustler,Bull Market,40,2,SaaS,Series A,Remote,44,25,67.9,4.4,3.9,7.0,7.2,3.5,7.4,5.6,5.5,Moderate,0,33.7,9.2,8.4,39.1,4.7,Yes,0.192,Low,0
Growth Obsessed Founder,Stable Economy,46,7,AI,Series B,Office,194,99,69.1,5.7,2.6,8.1,6.7,6.3,6.7,4.1,4.5,Moderate,0,11.8,13.1,8.2,47.8,4.6,No,0.132,Low,0
